type,object-size(KB),workers,parallel-clients,avg-bandwidth(MB/s),avg-latency(ms),gen-bytes-avg-latency(ms),io-copy-avg-latency(ms),successful-ops,failed-ops,duration,total-mbytes,name
read,4096,10,64,29883.4,85.47,-1.00,2.03,1e+06,0,2m39s,4000000,read-4m-64threads
read,4096,10,128,29960.4,171.14,-1.00,2.10,1e+06,0,2m41s,4000000,read-4m-128threads
read,4096,10,256,29447.2,346.49,-1.00,2.14,1e+06,0,2m40s,4000000,read-4m-256threads
write,4,10,128,312.9,15.38,0.01,-1.00,1e+06,0,24s,3906,write-4k-128threads
write,4,10,256,339.8,28.91,0.01,-1.00,1e+06,0,25s,3906,write-4k-256threads
write,8,10,128,652.4,14.77,0.01,-1.00,1e+06,0,24s,7812,write-8k-128threads
write,8,10,256,648.2,30.55,0.02,-1.00,1e+06,0,27s,7812,write-8k-256threads
write,16,10,64,1190.4,7.83,0.01,-1.00,1e+06,0,24s,15625,write-16k-64threads
write,16,10,128,1333.4,14.49,0.01,-1.00,1e+06,0,24s,15625,write-16k-128threads
write,16,10,256,1370.7,28.73,0.02,-1.00,1e+06,0,23s,15625,write-16k-256threads
write,32,10,64,2346.2,7.90,0.02,-1.00,1e+06,0,24s,31250,write-32k-64threads
write,32,10,128,2563.3,14.98,0.02,-1.00,1e+06,0,24s,31250,write-32k-128threads
write,32,10,256,2741.5,28.99,0.03,-1.00,1e+06,0,27s,31250,write-32k-256threads
write,64,10,64,4419.8,8.36,0.03,-1.00,1e+06,0,25s,62500,write-64k-64threads
write,64,10,128,4976.1,15.39,0.03,-1.00,1e+06,0,24s,62500,write-64k-128threads
write,64,10,256,5223.5,30.92,0.06,-1.00,1e+06,0,28s,62500,write-64k-256threads
write,128,10,64,8126.7,9.01,0.06,-1.00,1e+06,0,26s,125000,write-128k-64threads
write,128,10,128,9140.1,16.66,0.06,-1.00,1e+06,0,25s,125000,write-128k-128threads
write,128,10,256,9426.6,33.12,0.07,-1.00,1e+06,0,26s,125000,write-128k-256threads
write,256,10,64,13344.7,10.88,0.13,-1.00,1e+06,0,29s,250000,write-256k-64threads
write,256,10,128,15160.3,20.03,0.16,-1.00,1e+06,0,29s,250000,write-256k-128threads
write,256,10,256,13871.0,44.97,0.19,-1.00,1e+06,0,30s,250000,write-256k-256threads
write,512,10,64,18808.8,15.43,0.32,-1.00,1e+06,0,38s,500000,write-512k-64threads
write,512,10,128,19224.3,31.70,0.40,-1.00,1e+06,0,39s,500000,write-512k-128threads
write,512,10,256,18056.1,69.41,0.33,-1.00,1e+06,0,41s,500000,write-512k-256threads
write,1024,10,64,22407.2,26.13,1.43,-1.00,1e+06,0,57s,1000000,write-1m-64threads
write,1024,10,128,22196.8,55.67,1.31,-1.00,1e+06,0,1m3s,1000000,write-1m-128threads
write,1024,10,256,21171.6,119.25,1.19,-1.00,1e+06,0,1m5s,1000000,write-1m-256threads
write,4096,10,64,25885.0,92.58,5.47,-1.00,1e+06,0,2m54s,4000000,write-4m-64threads
write,4096,10,128,26028.7,198.92,5.30,-1.00,1e+06,0,4m1s,4000000,write-4m-128threads
write,4096,10,256,25751.3,391.91,5.22,-1.00,1e+06,0,3m11s,4000000,write-4m-256threads
