type,object-size(KB),workers,parallel-clients,avg-bandwidth(MB/s),ops,avg-latency(ms),gen-bytes-avg-latency(ms),io-copy-avg-latency(ms),successful-ops,failed-ops,duration,total-mbytes,name
read,32,10,256,5026.0,160831.31,15.47,-1.00,0.92,1e+06,0,17s,31250,read-32k-256threads
read,64,10,64,9917.0,158671.67,3.52,-1.00,0.09,1e+06,0,17s,62500,read-64k-64threads
read,64,10,128,10345.3,165524.04,7.22,-1.00,0.33,1e+06,0,17s,62500,read-64k-128threads
read,64,10,256,10430.4,166886.07,14.80,-1.00,0.80,1e+06,0,17s,62500,read-64k-256threads
read,128,10,64,16348.2,130785.35,4.39,-1.00,0.23,1e+06,0,18s,125000,read-128k-64threads
read,128,10,128,17483.6,139868.71,8.65,-1.00,1.11,1e+06,0,18s,125000,read-128k-128threads
read,128,10,256,17425.6,139404.87,17.61,-1.00,2.78,1e+06,0,18s,125000,read-128k-256threads
read,256,10,64,18267.0,73067.98,8.23,-1.00,1.10,1e+06,0,24s,250000,read-256k-64threads
read,256,10,128,18067.0,72267.85,16.92,-1.00,2.95,1e+06,0,24s,250000,read-256k-128threads
read,256,10,256,17106.0,68424.05,36.20,-1.00,7.48,1e+06,0,25s,250000,read-256k-256threads
read,512,10,64,19077.9,38155.75,16.18,-1.00,2.70,1e+06,0,37s,500000,read-512k-64threads
read,512,10,128,19061.6,38123.12,32.90,-1.00,7.29,1e+06,0,37s,500000,read-512k-128threads
read,512,10,256,18695.8,37391.62,66.94,-1.00,14.94,1e+06,0,40s,500000,read-512k-256threads
read,1024,10,64,19223.5,19223.53,32.69,-1.00,8.67,1e+06,0,1m4s,1000000,read-1m-64threads
read,1024,10,128,19399.7,19399.65,65.82,-1.00,14.63,1e+06,0,1m16s,1000000,read-1m-128threads
read,1024,10,256,18376.3,18376.31,138.50,-1.00,24.27,1e+06,0,1m12s,1000000,read-1m-256threads
read,4096,10,64,19483.2,4870.80,130.94,-1.00,53.74,1e+06,0,3m47s,4000000,read-4m-64threads
read,4096,10,128,19602.4,4900.61,260.37,-1.00,93.24,1e+06,0,3m46s,4000000,read-4m-128threads
read,4096,10,256,19340.4,4835.10,525.82,-1.00,113.44,999999,1,3m47s,4000000,read-4m-256threads
write,4,10,128,303.6,77724.35,15.90,0.01,-1.00,1e+06,0,25s,3906,write-4k-128threads
write,4,10,256,338.4,86623.61,29.09,0.01,-1.00,1e+06,0,25s,3906,write-4k-256threads
write,8,10,128,657.1,84103.47,14.65,0.01,-1.00,1e+06,0,23s,7812,write-8k-128threads
write,8,10,256,694.0,88834.70,29.10,0.02,-1.00,1e+06,0,27s,7812,write-8k-256threads
write,16,10,64,1237.1,79173.99,7.52,0.01,-1.00,1e+06,0,24s,15625,write-16k-64threads
write,16,10,128,1305.8,83574.29,14.67,0.02,-1.00,1e+06,0,23s,15625,write-16k-128threads
write,16,10,256,1342.7,85930.25,29.87,0.02,-1.00,1e+06,0,27s,15625,write-16k-256threads
write,32,10,64,2307.2,73831.17,8.05,0.02,-1.00,1e+06,0,25s,31250,write-32k-64threads
write,32,10,128,2588.2,82821.88,14.82,0.03,-1.00,1e+06,0,24s,31250,write-32k-128threads
write,32,10,256,2643.0,84576.90,29.82,0.03,-1.00,1e+06,0,26s,31250,write-32k-256threads
write,64,10,64,4616.3,73860.40,7.98,0.04,-1.00,1e+06,0,25s,62500,write-64k-64threads
write,64,10,128,4974.9,79599.12,15.56,0.04,-1.00,1e+06,0,26s,62500,write-64k-128threads
write,64,10,256,5181.3,82900.40,31.48,0.04,-1.00,1e+06,0,29s,62500,write-64k-256threads
write,128,10,64,8304.3,66434.52,8.78,0.07,-1.00,1e+06,0,26s,125000,write-128k-64threads
write,128,10,128,9313.6,74508.97,16.33,0.07,-1.00,1e+06,0,25s,125000,write-128k-128threads
write,128,10,256,9357.0,74856.15,33.61,0.08,-1.00,1e+06,0,27s,125000,write-128k-256threads
write,256,10,64,12928.2,51712.98,11.21,0.15,-1.00,1e+06,0,30s,250000,write-256k-64threads
write,256,10,128,14460.9,57843.52,20.91,0.15,-1.00,1e+06,0,30s,250000,write-256k-128threads
write,256,10,256,12702.6,50810.23,48.92,0.15,-1.00,1e+06,0,31s,250000,write-256k-256threads
write,512,10,64,15593.2,31186.48,18.84,0.42,-1.00,1e+06,0,43s,500000,write-512k-64threads
write,512,10,128,16359.5,32719.10,37.44,0.29,-1.00,1e+06,0,42s,500000,write-512k-128threads
write,512,10,256,14393.6,28787.12,86.76,0.23,-1.00,1e+06,0,46s,500000,write-512k-256threads
write,1024,10,64,16778.6,16778.55,35.72,1.39,-1.00,1e+06,0,1m11s,1000000,write-1m-64threads
write,1024,10,128,17196.5,17196.53,72.05,1.27,-1.00,1e+06,0,1m11s,1000000,write-1m-128threads
write,1024,10,256,16593.3,16593.31,151.47,1.20,-1.00,1e+06,0,1m14s,1000000,write-1m-256threads
write,4096,10,64,17757.0,4439.25,137.71,5.47,-1.00,1e+06,0,4m3s,4000000,write-4m-64threads
write,4096,10,128,18260.0,4564.99,274.40,5.38,-1.00,1e+06,0,4m9s,4000000,write-4m-128threads
write,4096,10,256,18344.9,4586.23,550.40,5.42,-1.00,1e+06,0,3m58s,4000000,write-4m-256threads
